oid,timestamp,x,y,body_roll,body_pitch,body_yaw,head_roll,head_pitch,head_yaw,other_oid,other_class,labels2
50187,1849.6,495863.495,5405751.956,None,None,None,None,None,None,"[50187, 47646, 50191, 50194, 50195]","[4, 0, 7, 3, 3]",PEDESTRIANS
50187,1849.7,495863.6351,5405752.097,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1849.8,495863.7652,5405752.216,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1849.9,495863.8753,5405752.284,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850,495863.9851,5405752.351,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850.1,495864.0748,5405752.381,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850.2,495864.1529,5405752.398,None,None,None,None,None,None,"[50191, 50187, 50194, 47646]","[7, 4, 3, 0]",PEDESTRIANS
50187,1850.3,495864.206,5405752.433,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850.4,495864.2417,5405752.516,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1850.5,495864.292,5405752.62,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850.6,495864.3475,5405752.728,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1850.7,495864.3984,5405752.85,None,None,None,None,None,None,"[47646, 50187, 50194, 50191]","[0, 4, 3, 7]",PEDESTRIANS
50187,1850.8,495864.4371,5405752.978,None,None,None,None,None,None,"[47646, 50191, 50187, 50194]","[0, 7, 4, 3]",PEDESTRIANS
50187,1850.9,495864.4882,5405753.107,None,None,None,None,None,None,"[50194, 50187, 47646, 50191]","[3, 4, 0, 7]",PEDESTRIANS
50187,1851,495864.5532,5405753.226,None,None,None,None,None,None,"[47646, 50191, 50194, 50187]","[0, 7, 3, 4]",PEDESTRIANS
50187,1851.1,495864.6304,5405753.347,None,None,None,None,None,None,"[50187, 47646, 50191, 50194]","[4, 0, 7, 3]",PEDESTRIANS
50187,1851.2,495864.7122,5405753.471,None,None,None,None,None,None,"[50191, 47646, 50194, 50197, 50187]","[7, 0, 3, 1, 4]",PEDESTRIANS
50187,1851.3,495864.7984,5405753.594,None,None,None,None,None,None,"[50194, 47646, 50191, 50197, 50187]","[3, 0, 7, 1, 4]",PEDESTRIANS
50187,1851.4,495864.8846,5405753.704,None,None,None,None,None,None,"[50197, 50194, 47646, 50187, 50191]","[1, 3, 0, 4, 7]",PEDESTRIANS
50187,1851.5,495864.9694,5405753.8,None,None,None,None,None,None,"[50194, 50191, 47646, 50187, 50197]","[3, 7, 0, 4, 1]",PEDESTRIANS
50187,1851.6,495865.0687,5405753.856,None,None,None,None,None,None,"[50197, 50187, 47646, 50191, 50194]","[1, 4, 0, 7, 3]",PEDESTRIANS
50187,1851.7,495865.1575,5405753.875,None,None,None,None,None,None,"[50187, 50197, 50194, 50191, 47646]","[4, 1, 3, 7, 0]",PEDESTRIANS
50187,1851.8,495865.2088,5405754.003,None,None,None,None,None,None,"[50191, 50194, 50197, 50187, 47646]","[7, 3, 1, 4, 0]",PEDESTRIANS
50187,1851.9,495865.2827,5405754.106,None,None,None,None,None,None,"[50197, 50194, 50191, 47646, 50187]","[1, 3, 7, 0, 4]",PEDESTRIANS
50187,1852,495865.3757,5405754.181,None,None,None,None,None,None,"[47646, 50191, 50194, 50197, 50187]","[0, 7, 3, 1, 4]",PEDESTRIANS
50187,1852.1,495865.4621,5405754.264,None,None,None,None,None,None,"[50197, 50187, 50194, 50191, 47646]","[1, 4, 3, 7, 0]",PEDESTRIANS
50187,1852.2,495865.5323,5405754.374,None,None,None,None,None,None,"[50187, 47646, 50191, 50194, 50197]","[4, 0, 7, 3, 1]",PEDESTRIANS
50187,1852.3,495865.5962,5405754.498,None,None,None,None,None,None,"[50194, 50191, 47646, 50187, 50197]","[3, 7, 0, 4, 1]",PEDESTRIANS
50187,1852.4,495865.6602,5405754.621,None,None,None,None,None,None,"[50187, 47646, 50191, 50197, 50194]","[4, 0, 7, 1, 3]",PEDESTRIANS
50187,1852.5,495865.6321,5405754.832,None,None,None,None,None,None,"[50194, 50191, 47646, 50187, 50197]","[3, 7, 0, 4, 1]",PEDESTRIANS
50187,1852.6,495865.5549,5405755.09,None,None,None,None,None,None,"[50197, 50187, 47646, 50191, 50194]","[1, 4, 0, 7, 3]",PEDESTRIANS
50187,1852.7,495865.6046,5405755.232,None,None,None,None,None,None,"[47646, 50191, 50194, 50197, 50187]","[0, 7, 3, 1, 4]",PEDESTRIANS
50187,1852.8,495865.6419,5405755.363,None,None,None,None,None,None,"[47646, 50191, 50194, 50197, 50187]","[0, 7, 3, 1, 4]",PEDESTRIANS
50187,1852.9,495865.6338,5405755.522,None,None,None,None,None,None,"[50191, 50194, 50197, 50187, 47646]","[7, 3, 1, 4, 0]",PEDESTRIANS
50187,1853,495865.6256,5405755.682,None,None,None,None,None,None,"[50197, 50191, 47646, 50194, 50187]","[1, 7, 0, 3, 4]",PEDESTRIANS
8217,695,496010.3607,5406130.685,None,None,None,None,None,None,"[8216, 7219, 8214, 8212, 8209, 8202, 8156, 8217]","[3, 0, 3, 5, 3, 3, 5, 4]",CAR
8217,695.1,496010.3717,5406130.585,None,None,None,None,None,None,"[8216, 7219, 8156, 8202, 8209, 8212, 8214, 8217]","[3, 0, 5, 3, 3, 5, 3, 4]",CAR
8217,695.2,496010.3827,5406130.484,0,3.44262,83.7246,0,2.95082,84,"[8218, 8216, 8214, 7219, 8212, 8209, 8202, 8156, 8217]","[3, 3, 3, 0, 5, 3, 3, 5, 4]",CAR
8217,695.3,496010.3969,5406130.378,0,1.48148,115.062,0,19.4321,140.909,"[8216, 7219, 8156, 8202, 8209, 8212, 8214, 8218, 8217]","[3, 0, 5, 3, 3, 5, 3, 3, 4]",CAR
8217,695.4,496010.4009,5406130.278,0,0,116.543,-2.75062,12.7827,146.815,"[7219, 8156, 8202, 8209, 8212, 8214, 8216, 8218, 8217]","[0, 5, 3, 3, 5, 3, 3, 3, 4]",CAR
8217,695.5,496010.3658,5406130.204,0,0,111.605,-1.44444,12.1827,147.733,"[8212, 8217, 8218, 8216, 8214, 8209, 8202, 8156, 7219]","[5, 4, 3, 3, 3, 3, 3, 5, 0]",CAR
8217,695.6,496010.3448,5406130.137,None,None,None,None,None,None,"[8218, 8216, 8156, 8202, 7219, 8209, 8212, 8214, 8217]","[3, 3, 5, 3, 0, 3, 5, 3, 4]",CAR
8217,695.7,496010.3404,5406130.067,None,None,None,None,None,None,"[8217, 7219, 8156, 8202, 8209, 8212, 8214, 8216, 8218]","[4, 0, 5, 3, 3, 5, 3, 3, 3]",CAR
8217,695.8,496010.3361,5406129.997,-2.6,3,112,-1,3.8,126.4,"[8156, 8202, 8209, 8212, 8217, 8216, 8218, 8214, 7219]","[5, 3, 3, 5, 4, 3, 3, 3, 0]",CAR
8217,695.9,496010.3509,5406129.92,0,5,112,-4.2,6.8,124.8,"[8217, 8218, 8216, 8214, 8212, 8209, 8202, 8156, 7219]","[4, 3, 3, 3, 5, 3, 3, 5, 0]",CAR
8217,696,496010.3743,5406129.793,0,4.4,106.8,-1,8.6,92.4,"[8209, 7219, 8156, 8202, 8212, 8214, 8216, 8218, 8217]","[3, 0, 5, 3, 5, 3, 3, 3, 4]",CAR
8217,696.1,496010.3787,5406129.7,0,0,103.2,0,4.15385,59.2,"[8214, 8216, 7219, 8217, 8218, 8156, 8209]","[3, 3, 0, 4, 3, 5, 3]",CAR
8217,696.2,496010.3634,5406129.649,None,None,None,None,None,None,"[8218, 8216, 8214, 8209, 8156, 7219, 8217]","[3, 3, 3, 3, 5, 0, 4]",CAR
8217,696.3,496010.3426,5406129.602,None,None,None,None,None,None,"[8217, 7219, 8156, 8209, 8214, 8216, 8218]","[4, 0, 5, 3, 3, 3, 3]",CAR
8217,696.4,496010.3218,5406129.554,0,0,78,0,0,39.6,"[8209, 8218, 8219, 8214, 8216, 8217, 7219, 8156]","[3, 3, 3, 3, 3, 4, 0, 5]",CAR
8217,696.5,496010.29,5406129.494,None,None,None,None,None,None,"[7219, 8156, 8209, 8220, 8214, 8216, 8218, 8217, 8219]","[0, 5, 3, 3, 3, 3, 3, 4, 3]",CAR
8217,696.6,496010.2517,5406129.425,None,None,None,None,None,None,"[8218, 8217, 8220, 8209, 8156, 7219, 8214, 8216, 8219]","[3, 4, 3, 3, 5, 0, 3, 3, 3]",CAR
8217,696.7,496010.2133,5406129.357,None,None,None,None,None,None,"[8216, 8218, 8219, 8220, 8156, 8209, 8214, 7219, 8217]","[3, 3, 3, 3, 5, 3, 3, 0, 4]",CAR
8217,696.8,496010.175,5406129.289,None,None,None,None,None,None,"[8156, 8219, 8217, 8220, 8209, 8214, 8216, 8218, 7219]","[5, 3, 4, 3, 3, 3, 3, 3, 0]",CAR
8217,696.9,496010.1366,5406129.221,None,None,None,None,None,None,"[8219, 8218, 8216, 8214, 8209, 8156, 7219, 8217]","[3, 3, 3, 3, 3, 5, 0, 4]",CAR
8217,697,496010.0983,5406129.153,None,None,None,None,None,None,"[8209, 8217, 8219, 8218, 8216, 8214, 8156, 7219]","[3, 4, 3, 3, 3, 3, 5, 0]",CAR
8217,697.1,496010.0599,5406129.085,None,None,None,None,None,None,"[7219, 8217, 8222, 8218, 8216, 8214, 8156, 8209]","[0, 4, 3, 3, 3, 3, 5, 3]",CAR
8217,697.2,496010.0216,5406129.017,None,None,None,None,None,None,"[8156, 8209, 8214, 8216, 8218, 8222, 7219, 8217]","[5, 3, 3, 3, 3, 3, 0, 4]",CAR
8217,697.3,496009.9832,5406128.949,None,None,None,None,None,None,"[7219, 8217, 8222, 8218, 8216, 8214, 8209, 8156]","[0, 4, 3, 3, 3, 3, 3, 5]",CAR
8217,697.4,496009.9448,5406128.881,0,0,112.821,0,12.4308,136.369,"[8222, 8218, 8216, 8214, 7219, 8209, 8156, 8217]","[3, 3, 3, 3, 0, 3, 5, 4]",CAR
8217,697.5,496009.9319,5406128.81,0,0,115.309,-3.6,12.9026,141.77,"[8209, 8214, 8217, 8222, 8218, 8216, 7219, 8156]","[3, 3, 4, 3, 3, 3, 0, 5]",CAR
8217,697.6,496009.9585,5406128.75,0,0,115.443,-0.744304,5.06329,156.278,"[8216, 8222, 8218, 8214, 8209, 8217, 8156, 7219]","[3, 3, 3, 3, 3, 4, 5, 0]",CAR
8217,697.7,496009.958,5406128.673,0,0,114.937,0.668354,7.36962,148.385,"[8156, 8209, 8214, 8216, 8218, 8222, 8217, 7219]","[5, 3, 3, 3, 3, 3, 4, 0]",CAR
8217,697.8,496009.9527,5406128.607,3.03797,0,115.443,-0.518987,1.36962,149.904,"[8222, 8217, 7219, 8156, 8209, 8214, 8216]","[3, 4, 0, 5, 3, 3, 3]",CAR
8217,697.9,496009.9618,5406128.512,0,-2.02532,116.456,0,10.6506,152.41,"[8156, 8217, 7219, 8222, 8216, 8214, 8209]","[5, 4, 0, 3, 3, 3, 3]",CAR
8217,698,496009.9378,5406128.381,0,1.51899,115.443,-0.0253165,4.7443,149.985,"[8216, 8214, 8209, 8156, 7219, 8222, 8223, 8217]","[3, 3, 3, 5, 0, 3, 5, 4]",CAR
8217,698.1,496009.9192,5406128.266,0,0,114.938,-0.493827,7.4,153.057,"[8217, 7219, 8156, 8214, 8216, 8222, 8223]","[4, 0, 5, 3, 3, 3, 5]",CAR
8217,698.2,496009.9177,5406128.16,0,0,112.277,0,10.8,154.8,"[8216, 8156, 7219, 8217, 8223, 8222]","[3, 5, 0, 4, 5, 3]",CAR
8217,698.3,496009.929,5406128.058,0,0,111.551,0.530864,6.28133,158.163,"[7219, 8217, 8223, 8156, 8216, 8222]","[0, 4, 5, 5, 3, 3]",CAR
8217,698.4,496009.9018,5406127.933,0,0,120.844,-1.55062,8.15556,143.481,"[8216, 8217, 8223, 7219, 8156, 8222]","[3, 4, 5, 0, 5, 3]",CAR
8217,698.5,496009.8374,5406127.794,0,0.8,109.546,-4.40741,7.44897,157.6,"[8216, 8217, 8223, 8222, 7219, 8156]","[3, 4, 5, 3, 0, 5]",CAR
8217,698.6,496009.7943,5406127.666,0,0,117.531,-5,7.40741,140.247,"[8217, 8223, 7219, 8156, 8216, 8222]","[4, 5, 0, 5, 3, 3]",CAR
8217,698.7,496009.7322,5406127.53,0,0,110.617,-7.8,9.16296,148.794,"[8217, 8156, 8222, 8216, 8223, 7219]","[4, 5, 3, 3, 5, 0]",CAR
8217,698.8,496009.6945,5406127.411,0,0,114.074,-6.8,12.3259,146.321,"[8223, 8222, 8216, 8217, 8156, 7219]","[5, 3, 3, 4, 5, 0]",CAR
8217,698.9,496009.6837,5406127.316,0,0,121.481,-7.6,12.7259,157.165,"[8156, 8216, 7219, 8222, 8223, 8217]","[5, 3, 0, 3, 5, 4]",CAR
8217,699,496009.6832,5406127.195,0,0,114.074,-5.4,15.4198,148.647,"[8222, 8156, 8223, 8217, 7219, 8216]","[3, 5, 5, 4, 0, 3]",CAR
8217,699.1,496009.6594,5406127.036,0,0,116.8,0,12.2,148.8,"[8156, 7219, 8223, 8222, 8216, 8217]","[5, 0, 5, 3, 3, 4]",CAR
8217,699.2,496009.6165,5406126.873,0,0,116.4,0,-2.6,129.6,"[8223, 8222, 8216, 7219, 8156, 8224, 8217]","[5, 3, 3, 0, 5, 3, 4]",CAR
8217,699.3,496009.6164,5406126.735,0,0,119.2,0,-2.4,120,"[8156, 8217, 8224, 8223, 8222, 7219, 8216]","[5, 4, 3, 5, 3, 0, 3]",CAR
8217,699.4,496009.6291,5406126.577,0,0,116.8,-6.8,-1,102,"[8217, 8216, 8156, 8222, 8223, 8224, 7219]","[4, 3, 5, 3, 5, 3, 0]",CAR
8217,699.5,496009.6087,5406126.388,0,0,115.6,0,0,84.8,"[7219, 8217, 8224, 8223, 8222, 8216, 8156]","[0, 4, 3, 5, 3, 3, 5]",CAR
8217,699.6,496009.5504,5406126.203,0,0,91.8519,0,5.75802,38.3062,"[8216, 8224, 8223, 8222, 8217, 7219, 8156]","[3, 3, 5, 3, 4, 0, 5]",CAR
8217,699.7,496009.4836,5406126.037,0,0,86.9136,0,7.40741,31.1111,"[8156, 8224, 8217, 7219, 8223, 8222, 8216]","[5, 3, 4, 0, 5, 3, 3]",CAR
8217,699.8,496009.4359,5406125.888,0,0,77.5309,0,4.46914,29.8815,"[8223, 8222, 8216, 8156, 7219, 8217, 8224]","[5, 3, 3, 5, 0, 4, 3]",CAR
8217,699.9,496009.438,5406125.771,0,0,88.3951,0,6.41975,27.7679,"[8223, 7219, 8156, 8222, 8216, 8217, 8224]","[5, 0, 5, 3, 3, 4, 3]",CAR
8217,700,496009.4438,5406125.637,0,0,86.9136,0,8.39506,66.2914,"[8223, 8224, 8217, 8222, 8216, 8156, 7219]","[5, 3, 4, 3, 3, 5, 0]",CAR
8217,700.1,496009.4146,5406125.482,-6.2,0.4,86.8,1.8,7.4,73.6,"[8156, 8216, 8217, 8224, 8223, 8222, 7219]","[5, 3, 4, 3, 5, 3, 0]",CAR
8217,700.2,496009.3855,5406125.35,None,None,None,None,None,None,"[7219, 8216, 8222, 8223, 8224, 8217, 8156]","[0, 3, 3, 5, 3, 4, 5]",CAR
8217,700.3,496009.3958,5406125.225,0,2.2,89.5259,-1,14,114.207,"[8217, 8156, 8216, 8222, 8223, 8224, 7219]","[4, 5, 3, 3, 5, 3, 0]",CAR
8217,700.4,496009.4343,5406125.095,-4.4,-0.6,90.8,-3,10.8,142,"[8156, 8217, 8224, 8223, 8222, 8216, 7219]","[5, 4, 3, 5, 3, 3, 0]",CAR
8217,700.5,496009.4105,5406124.93,-0.4,0.8,91.2,-3.6,9.6,140.4,"[8224, 8217, 8223, 8222, 8216, 8156, 7219]","[3, 4, 5, 3, 3, 5, 0]",CAR
8217,700.6,496009.3222,5406124.742,-2.4,-0.469136,92.4741,-8.6,7.4,136.8,"[8217, 8224, 8223, 8222, 8216, 8156, 7219]","[4, 3, 5, 3, 3, 5, 0]",CAR
